right wheel encoder data: 424551307444 9
imu data: 424551334262 -0.228567 -0.017446 0.989786 0.2975 2.68625 1.435
left wheel encoder data: 424552121604 9
right wheel encoder data: 424552280472 9
imu data: 424552436425 -0.220454 -0.016592 1.00034 0.315 2.30125 1.295
left wheel encoder data: 424553121450 9
right wheel encoder data: 424553281193 9
imu data: 424553577940 -0.212036 -0.016287 1.00333 0.30625 1.89 1.1375
left wheel encoder data: 424554123337 10
right wheel encoder data: 424554280747 10
left wheel encoder data: 424555121143 10
right wheel encoder data: 424555279136 10
imu data: 424554871618 -0.203984 -0.015189 1.00802 0.2975 1.46125 0.95375
left wheel encoder data: 424556121572 10
right wheel encoder data: 424556278982 10
imu data: 424555939384 -0.195444 -0.012688 1.01406 0.2975 1.00625 0.77
left wheel encoder data: 424557124333 10
right wheel encoder data: 424557280285 10
imu data: 424557015894 -0.185806 -0.010187 1.01736 0.30625 0.55125 0.595
ofs data: 424557267313 -14 -14 206 79 0
left wheel encoder data: 424558121555 10
right wheel encoder data: 424558279548 11
imu data: 424558253313 -0.177144 -0.009699 1.02065 0.315 0.105 0.4375
left wheel encoder data: 424559138891 11
right wheel encoder data: 424559278520 11
imu data: 424559391913 -0.169702 -0.01098 1.02163 0.30625 -0.3325 0.315
left wheel encoder data: 424560120956 11
right wheel encoder data: 424560280115 11
imu data: 424560429946 -0.163175 -0.012688 1.02236 0.2975 -0.77875 0.21
left wheel encoder data: 424561119927 11
right wheel encoder data: 424561288123 11
imu data: 424561560967 -0.156648 -0.014396 1.02315 0.28875 -1.19875 0.1225
left wheel encoder data: 424562117150 11
right wheel encoder data: 424562279224 11
left wheel encoder data: 424563128073 12
imu data: 424562812086 -0.147681 -0.014274 1.01998 0.28875 -1.60125 0.04375
right wheel encoder data: 424563280819 12
left wheel encoder data: 424564120631 12
imu data: 424563867317 -0.138592 -0.011834 1.01772 0.30625 -1.98625 -0.02625
right wheel encoder data: 424564279207 12
left wheel encoder data: 424565118145 12
right wheel encoder data: 424565279053 12
imu data: 424565136218 -0.130845 -0.00976 1.01541 0.32375 -2.35375 -0.07875
left wheel encoder data: 424566121198 12
right wheel encoder data: 424566279191 12
left wheel encoder data: 424567120461 12
right wheel encoder data: 424567280203 13
imu data: 424566222057 -0.122854 -0.00793 1.01205 0.3325 -3.045 -0.13125
left wheel encoder data: 424568120598 13
right wheel encoder data: 424568278008 13
imu data: 424567716287 -0.115595 -0.00549 1.00796 0.32375 -3.35125 -0.14
left wheel encoder data: 424569120153 13
right wheel encoder data: 424569317499 13
left wheel encoder data: 424570119416 13
right wheel encoder data: 424570277701 13
imu data: 424568731291 -0.10004 0.000976 0.99979 0.28875 -3.61375 -0.14
left wheel encoder data: 424571119845 13
right wheel encoder data: 424571279004 14
imu data: 424570359029 -0.092659 0.003599 0.996557 0.2275 -3.82375 -0.13125
ofs data: 424569927900 -18 -18 198 79 0
imu data: 424571532026 -0.092659 0.003599 0.996557 0.13125 -3.98125 -0.11375
left wheel encoder data: 424572119691 14
imu data: 424572018249 -0.085766 0.005185 0.996862 0.13125 -3.98125 -0.11375
right wheel encoder data: 424572282057 14
left wheel encoder data: 424573120411 14
imu data: 424572947552 -0.079361 0.00488 0.99796 0.0175 -4.10375 -0.0875
right wheel encoder data: 424573280445 14
left wheel encoder data: 424574117634 14
right wheel encoder data: 424574280291 14
left wheel encoder data: 424575119520 14
right wheel encoder data: 424575279263 15
imu data: 424574313814 -0.072712 0.004026 0.99613 -0.11375 -4.17375 -0.06125
imu data: 424575520625 -0.06466 0.004636 0.995337 -0.245 -4.19125 -0.04375
left wheel encoder data: 424576129278 15
right wheel encoder data: 424576280566 15
imu data: 424576372680 -0.057462 0.005612 0.996374 -0.37625 -4.15625 -0.0175
left wheel encoder data: 424577121545 15
right wheel encoder data: 424577280121 15
imu data: 424577541013 -0.052216 0.00549 1.00003 -0.49875 -4.0775 0
left wheel encoder data: 424578121391 15
right wheel encoder data: 424578279384 16
imu data: 424578663290 -0.046421 0.005307 1.00821 -0.595 -3.9375 0.02625
left wheel encoder data: 424579120654 16
right wheel encoder data: 424579279230 16
left wheel encoder data: 424580120208 16
right wheel encoder data: 424580278201 16
imu data: 424579828125 -0.039528 0.004392 1.01217 -0.665 -3.73625 0.07875
left wheel encoder data: 424581130257 16
right wheel encoder data: 424581282128 17
imu data: 424581037268 -0.032574 0.002562 1.01602 -0.7 -3.47375 0.1575
ofs data: 424581431522 -18 -18 211 79 0
left wheel encoder data: 424582168872 16
right wheel encoder data: 424582278185 17
imu data: 424582133309 -0.025254 0.000183 1.02236 -0.7175 -3.1675 0.25375
left wheel encoder data: 424583120038 17
right wheel encoder data: 424583280071 17
imu data: 424583317675 -0.018178 -0.001525 1.02565 -0.72625 -2.8 0.35875
left wheel encoder data: 424584121633 17
right wheel encoder data: 424584297990 17
imu data: 424584374655 -0.012078 -0.003172 1.0287 -0.735 -2.40625 0.48125
left wheel encoder data: 424585121479 17
right wheel encoder data: 424585279763 18
imu data: 424585523749 -0.00671 -0.006344 1.03212 -0.7175 -1.98625 0.58625
left wheel encoder data: 424586121616 18
right wheel encoder data: 424586279901 18
imu data: 424586737265 -0.002562 -0.010248 1.03407 -0.69125 -1.5575 0.69125
left wheel encoder data: 424587131956 18
right wheel encoder data: 424587280621 18
imu data: 424587763929 0.002684 -0.013908 1.03493 -0.65625 -1.1375 0.77875
left wheel encoder data: 424588122183 18
right wheel encoder data: 424588277552 18
left wheel encoder data: 424589120863 19
right wheel encoder data: 424589279730 19
imu data: 424589013299 0.008845 -0.01708 1.0331 -0.62125 -0.72625 0.84875
left wheel encoder data: 424590121292 19
right wheel encoder data: 424590279868 19
imu data: 424590155980 0.012505 -0.019764 1.03163 -0.6125 -0.32375 0.91875
left wheel encoder data: 424591122012 19
right wheel encoder data: 424591279423 19
left wheel encoder data: 424592122150 19
imu data: 424591212960 0.01525 -0.022631 1.03078 -0.63875 0.455 1.0325
right wheel encoder data: 424592495853 20
imu data: 424592411610 0.016226 -0.026413 1.02834 -0.63875 0.455 1.0325
left wheel encoder data: 424593119955 20
right wheel encoder data: 424593299520 20
ofs data: 424592687806 -19 -19 202 79 0
imu data: 424593459553 0.017202 -0.029402 1.02266 -0.6825 0.8225 1.085
left wheel encoder data: 424594127672 20
right wheel encoder data: 424594285665 20
imu data: 424594602526 0.01952 -0.032208 1.0176 -0.72625 1.1725 1.12
left wheel encoder data: 424595123728 20
right wheel encoder data: 424595281430 20
left wheel encoder data: 424596120368 21
imu data: 424595860933 0.019886 -0.037881 1.01321 -0.7875 1.49625 1.16375
right wheel encoder data: 424596281568 21
left wheel encoder data: 424597119922 21
right wheel encoder data: 424597279082 21
imu data: 424596922868 0.019154 -0.043188 1.01138 -0.84875 1.77625 1.18125
left wheel encoder data: 424598120060 21
right wheel encoder data: 424598278928 21
imu data: 424598031444 0.019154 -0.047824 1.01065 -0.91875 1.98625 1.19
left wheel encoder data: 424599121947 22
right wheel encoder data: 424599279357 21
imu data: 424599296847 0.019398 -0.05246 1.00345 -0.9975 2.12625 1.18125
left wheel encoder data: 424600120335 22
right wheel encoder data: 424600278911 22
imu data: 424600282409 0.019947 -0.055998 0.997838 -1.04125 2.19625 1.155
left wheel encoder data: 424601119598 22
right wheel encoder data: 424601300037 22
imu data: 424601472313 0.021838 -0.060512 0.995642 -1.04125 2.2225 1.12
left wheel encoder data: 424602124108 22
right wheel encoder data: 424602280935 22
imu data: 424602566314 0.023668 -0.065148 0.993934 -0.98875 2.205 1.085
left wheel encoder data: 424603151064 23
ofs data: 424602819628 -16 -16 214 79 0
right wheel encoder data: 424603277866 22
imu data: 424603750097 0.024644 -0.068564 0.992592 -0.90125 2.16125 1.05
left wheel encoder data: 424604121177 23
right wheel encoder data: 424604277129 23
left wheel encoder data: 424605120440 23
imu data: 424604889571 0.025132 -0.071187 0.994544 -0.7875 2.0825 0.9975
